"plantio";"area";"dataplantio";"matgen";"espacamento";"parcela";"areaparc";"datamedicao";"idade";"fila";"cova";"fuste";"cat";"dap";"ht";"decliv_perc";"ffcc"
2171;42,43;"2017-11-14";35;"3,45X2,40";"27";469,9;"2020-09-16";2,83915126625599;6;50;1;"Normal";12,38;17,1064666088261;6,54;0,433331698852134
2171;42,43;"2017-11-14";35;"3,45X2,40";"27";469,9;"2020-09-16";2,83915126625599;6;51;1;"Ponta Seca";12,8;17,3068938684492;6,54;0,432030404237299
2171;42,43;"2017-11-14";35;"3,45X2,40";"27";469,9;"2020-09-16";2,83915126625599;7;52;1;"Torta";11,27;16,4550780150513;6,54;0,436572033637246
2171;42,43;"2017-11-14";35;"3,45X2,40";"27";469,9;"2020-09-16";2,83915126625599;7;53;1;"Torta";12,89;17,3570006833549;6,54;0,431779196931073
2171;42,43;"2017-11-14";35;"3,45X2,40";"27";469,9;"2020-09-16";2,83915126625599;7;54;1;"Torta";10,6;15,9940953179183;6,54;0,438574222793829
2171;42,43;"2017-11-14";35;"3,45X2,40";"27";469,9;"2020-09-16";2,83915126625599;7;55;1;"Ponta Seca";12,1;16,9561461641089;6,54;0,434151707556967
2171;42,43;"2017-11-14";35;"3,45X2,40";"27";469,9;"2020-09-16";2,83915126625599;7;56;1;"Normal";12,22;17,0162743419958;6,54;0,433753728161493
2171;42,43;"2017-11-14";35;"3,45X2,40";"27";469,9;"2020-09-16";2,83915126625599;7;57;1;"Dominante";12,54;16,2346080294659;6,54;0,42843228828125
2169;58,71;"2017-11-20";35;"3,45X2,40";"23";469,9;"2020-09-15";2,81998631074606;1;1;1;"Normal";12,45;18,5263186266565;4,2;0,439073173158321
2169;58,71;"2017-11-20";35;"3,45X2,40";"23";469,9;"2020-09-15";2,81998631074606;1;2;1;"Dominante";14,45;19,7173677441995;4,2;0,434802247913816
2169;58,71;"2017-11-20";35;"3,45X2,40";"23";469,9;"2020-09-15";2,81998631074606;1;3;1;"Normal";13,31;19,0467770645745;4,2;0,437080239643169
2169;58,71;"2017-11-20";35;"3,45X2,40";"23";469,9;"2020-09-15";2,81998631074606;1;4;1;"Dominante";13,59;19,1168387773711;4,2;0,436090543592319
2169;58,71;"2017-11-20";35;"3,45X2,40";"23";469,9;"2020-09-15";2,81998631074606;1;5;1;"Normal";13,31;19,0467770645745;4,2;0,437080239643169
2169;58,71;"2017-11-20";35;"3,45X2,40";"23";469,9;"2020-09-15";2,81998631074606;1;6;1;"Dominante";13,46;19,3170150996473;4,2;0,437508469770256
2169;58,71;"2017-11-20";35;"3,45X2,40";"23";469,9;"2020-09-15";2,81998631074606;2;7;1;"Normal";12,89;18,8065654778431;4,2;0,438089305924018
2169;58,71;"2017-11-20";35;"3,45X2,40";"23";469,9;"2020-09-15";2,81998631074606;2;8;1;"Normal";11,65;17,9157808437143;4,2;0,44065422647049
2169;58,71;"2017-11-20";35;"3,45X2,40";"23";469,9;"2020-09-15";2,81998631074606;2;9;1;"Dominante";13,37;19,4171032607853;4,2;0,438305730487998
2169;58,71;"2017-11-20";35;"3,45X2,40";"23";469,9;"2020-09-15";2,81998631074606;2;10;1;"Normal";13,75;19,2569622029644;4,2;0,435956730081654
2169;58,71;"2017-11-20";35;"3,45X2,40";"23";469,9;"2020-09-15";2,81998631074606;2;11;1;"Normal";12,48;18,5463362588841;4,2;0,439007818492249
2169;58,71;"2017-11-20";35;"3,45X2,40";"23";469,9;"2020-09-15";2,81998631074606;2;12;1;"Torta";11,81;18,0458954531938;4,2;0,440335872020998
2169;58,71;"2017-11-20";35;"3,45X2,40";"23";469,9;"2020-09-15";2,81998631074606;2;13;1;"Normal";13,31;19,0467770645745;4,2;0,437080239643169
2169;58,71;"2017-11-20";35;"3,45X2,40";"23";469,9;"2020-09-15";2,81998631074606;2;14;1;"Normal";12,41;18,4962921783151;4,2;0,439136097890248
