m_parcela;m_plantio;matgen;espacamento;medicao;idade;dapmin;dapmed;dapmax;s2dap;dg;g;htmin;htmed;htmax;s2ht;ddom;hdom;vtcc
12;3;27;5,00 X 3,00;1;2,198494182;6,493521678;12,11619555;14,73774773;3,305139656;12,2492846;7,570651467;10,85307053;13,01888941;14,3;0,435685291;14,12898007;13,6375;47,11399403
105;28;27;5,00 X 3,00;1;2,239561944;5,952394872;11,23583373;14,51493081;3,568286697;11,39103186;8,560424483;8,268446819;11,47753235;13;0,836834662;13,40880396;11,85;47,20082096
106;28;27;5,00 X 3,00;1;2,239561944;5,729577951;12,07751199;17,31605781;5,027032255;12,28050967;9,633658255;8,530474974;12,03569975;13,8;1,335279491;14,10112796;13,2;56,39562606
107;28;27;5,00 X 3,00;1;2,239561944;4,774648293;13,16884727;17,18873385;5,225405082;13,36201538;9,72245398;6,854233843;12,50767939;14,8;1,44979885;15,46986047;14,0125;58,97761848
108;29;27;5,00 X 3,00;1;2,409308693;4,774648293;10,79511251;14,89690267;7,068573491;11,11279804;8,405989014;7,168297886;11,86496599;14;2,397505371;14,35975474;13,4875;49,64344663
109;29;27;5,00 X 3,00;1;2,409308693;5,347606088;11,07279356;13,36901522;5,222785216;11,3021898;7,758572171;7,933464056;12,01324827;13,4;1,962306949;13,28943775;13,0125;45,55429071
110;29;27;5,00 X 3,00;1;2,409308693;10,66338119;11,82521227;12,98704336;2,699702938;11,88215034;0,295698213;11,3;12,25;13,2;1,805;11,82521227;12,25;1,724173622
111;29;27;5,00 X 3,00;1;2,409308693;5,347606088;11,72998022;14,73774773;3,255538217;11,86569023;8,993825674;7,973239177;12,51707082;14,4;1,496665155;13,65947299;13,74667139;54,17201327
122;32;27;5,00 X 3,00;1;2,368240931;8,371550007;12,61131286;15,50169146;1,644240963;12,67506265;8,580231846;10,63918129;12,87753499;14;0,32388187;14,49105757;13,3125;52,21864024
123;32;27;5,00 X 3,00;1;2,368240931;7,543944303;12,07143433;16,07464925;4,281776004;12,24407393;8,00664698;9,98753496;12,42464078;13,8;0,904676312;14,42341672;13,2;48,05454224
147;40;27;4,50 X 2,00;2;4,31211499;7,352958371;12,34457708;15,69267739;3,021426128;12,46388172;13,48910231;12,29103956;14,75399829;16,1;0,386611054;15,54148019;15,525;96,49308288
148;40;27;4,50 X 2,00;2;4,31211499;4,83831027;11,99905844;16,87042397;6,334201535;12,25519455;13,70908739;10,58865496;14,73802909;16,6;1,149983267;15,98711403;15,55;98,58553538
149;40;27;4,50 X 2,00;2;4,31211499;8,97633879;12,18752382;15,9473253;3,802569718;12,3395197;13,369952;13,3715412;14,65498826;16;0,360339184;15,82636754;15,46;95,37220001
151;40;27;4,50 X 2,00;2;4,31211499;6,875493542;12,59488558;15,91549431;6,090910134;12,8296623;14,620425;11,89973912;14,97433973;17,4;1,204428938;15,82795909;16,475;105,74251
156;42;27;5,00 X 2,40;2;3,452429843;8,276057041;16,45351565;19,73521294;3,713259514;16,5632385;15,13887552;10,7;16,50432229;17,9;1,33442222;18,27098747;17,45651711;118,877008
160;44;27;5,00 X 3,00;2;3,452429843;10,12225438;14,36744723;16,87042397;2,993480799;14,46780004;10,53424159;11,55802844;14,44732981;16,5;1,212729042;16,42479013;15,36;71,84223701
161;44;27;5,00 X 3,00;2;3,452429843;12,73239545;14,88841441;18,65295933;1,386698024;14,93336393;11,83485735;13,42554197;14,62293086;16;0,382646424;16,98183243;15,75;81,66673589
162;44;27;5,00 X 3,00;2;3,452429843;6,111549815;14,79216845;17,18873385;3,81576885;14,91646497;11,74891324;7,155675118;14,32108323;15,3;2,040956933;16,56484648;15,1034821;80,56896132
163;44;27;5,00 X 3,00;2;3,452429843;12,0321137;13,65761618;15,27887454;0,534342301;13,6765131;9,447355542;12,97926358;13,90870619;14,5;0,123921263;14,80140971;14,3441164;61,76362363
164;45;27;5,00 X 3,00;2;3,452429843;8,276057041;15,40517169;17,82535363;2,746579783;15,49120057;12,65910417;5,523272544;15,90594245;19,4;6,539552317;17,20783245;18,82;97,19598566
165;45;27;5,00 X 3,00;2;3,452429843;12,28676161;13,99926879;15,9473253;0,818493484;14,02749932;10,39669298;11,55626126;13,8689315;15,5;1,288639428;15,58126893;15,3;68,50586167
166;45;27;5,00 X 3,00;2;3,452429843;5,156620156;13,85244836;16,87042397;5,681401524;14,04970403;10,72498633;1,406093817;13,38819642;16,16228304;9,646478561;16,35476195;15,54;71,44410056
